acc.date,aircraft_type,operator,fatalities,damage,year
2022-10-01,Boeing 737-8Gj (Wl),Transavia France,0,Substantial,2022
2022-10-03,Boeing 737-8Q3 (Wl),Japan Transocean Air,0,None,2022
2022-10-03,Embraer Emb-545 Legacy 450,Partee Aviation Llc,0,Substantial,2022
2022-10-03,Britten-Norman Bn-2A-21 Islander,Torres Strait Air,0,Substantial,2022
2022-10-05,Atr 42-500,Sky Express,0,Substantial,2022
2022-10-12,Honda Ha-420 Hondajet,Jupiter Aviation Llc,0,Substantial,2022
2022-10-13,De Havilland Canada Dhc-3T Vazar Turbine Otter,True North Airways,0,Written Off,2022
2022-10-13,Cessna 208B Grand Caravan,Saeta Peru,0,Written Off,2022
2022-10-16,Cirrus Sf50 Vision Jet G2,Panamerican Training Center - Ptc,0,Substantial,2022
2022-10-18,Beechcraft 99 Airliner,Flamingo Air Charter,0,Substantial,2022
2022-10-19,De Havilland Canada Dhc-8-314 Dash 8,Perimeter Aviation,0,Substantial,2022
2022-10-22,Boeing 737-8As (Wl),Ryanair,0,None,2022
2022-10-23,Airbus A330-322,Korean Air,0,Substantial,2022
2022-10-25,Cessna 208B Grand Caravan,Reven Global Transpor,0,Substantial,2022
2022-10-27,Canadair Cl-215-6B11 (Cl-415),Vigili Del Fuoco,2,Written Off,2022
2022-10-28,Embraer Emb-110C Bandeirante,Fuerza Aérea Uruguaya - Fau,0,Substantial,2022
2022-11-02,Airbus A319-132,Spirit Airlines,0,None,2022
2022-11-03,Eclipse 550,Elite Flight Travel,0,Substantial,2022
2022-11-03,Let L-410Uvp-E20,Goma Express,3,Written Off,2022
2022-11-06,Cessna 208B Grand Caravan,Aviación Militar Bolivariana,5,Written Off,2022
2022-11-06,Atr 42-500,Precision Air,19,Substantial,2022
2022-11-07,Atr 72-600 (72-212A),Japan Air Commuter,0,None,2022
2022-11-09,Boeing 737-7H4 (Wl),Southwest Airlines,0,Substantial,2022
2022-11-09,Boeing 737-823 (Wl),American Airlines,0,Substantial,2022
2022-11-10,Boeing 737 Max 8,American Airlines,0,None,2022
2022-11-12,Boeing B-17G Flying Fortress,American Airpower Heritage Museum,0,Written Off,2022
2022-11-14,Antonov An-2,Risk Mondial Aviation & Recovery,0,Substantial,2022
2022-11-15,Honda Ha-420 Hondajet,Andersen Air Llc,0,Substantial,2022
2022-11-15,Fairchild Sa227-At Expediter,Ameriflight,0,Substantial,2022
2022-11-17,Embraer Emb-110P1 Bandeirante,Leair Charter Services,0,Minor,2022
2022-11-17,Beechcraft 1900D,Penjet Pty Ltd,0,Substantial,2022
2022-11-18,Airbus A320-271N,Latam Perú,0,Written Off,2022
2022-11-18,Cessna 208B Grand Caravan Ex,Raisbeck Engineering,4,Written Off,2022
2022-11-19,Airbus A320-211,Delta Air Lines,0,Substantial,2022
2022-11-20,Boeing 737-4Q8 (Sf),"Bluebird Cargo, Opf Asl Airlines Belgium",0,Substantial,2022
2022-11-25,Cirrus Sf50 Vision Jet G2,Verijet,0,Substantial,2022
2022-11-28,Airbus A330-243,Azul Linhas Aéreas Brasileiras,0,None,2022
2022-11-29,Boeing 737-7H4 (Wl),Southwest Airlines,0,None,2022
2022-11-29,Learjet 45,Jett Aircraft,0,Substantial,2022
2022-11-30,Learjet 36,Aery Aviation,0,Substantial,2022
2022-12-01,Learjet 35A,"Reva, Inc.",0,Substantial,2022
2022-12-03,Embraer Erj-175Lr,Mesa Airlines,0,None,2022
2022-12-07,British Aerospace Bae-146-200,Antarctic Airways,0,Substantial,2022
2022-12-08,Boeing 767-322Er (Wl),United Airlines,0,None,2022
2022-12-15,Swearingen Sa226-Tc Metro Ii,Key Lime Air,0,Substantial,2022
2022-12-17,De Havilland Canada Dhc-8-402Qpf Dash 8,Blue Bird Aviation,0,Substantial,2022
2022-12-18,Airbus A330-243,Hawaiian Airlines,0,Minor,2022
2022-12-18,Boeing 737-824 (Wl),United Airlines,0,None,2022
2022-12-22,Boeing 787-9 Dreamliner,Air Canada,0,Unknown,2022
2022-12-23,De Havilland Canada Dhc-6 Twin Otter 300,Rimbun Air,0,Substantial,2022
2022-12-24,Gulfstream Giv-X (G450),Flexjet Llc,0,None,2022
2022-12-26,Boeing 737-860 (Wl),Ethiopian Airlines,0,Substantial,2022
2022-12-26,Boeing 737 Max 8-200,Ryanair,0,None,2022
2022-12-26,Boeing 737-3Z0,"Tarco Aviation, Lsf Mid Africa Aviation",0,Substantial,2022
2022-12-27,Embraer Emb-505 Phenom 300,Skystallion Llc,0,Substantial,2022
